num,method,oodset,auroc,fpr
9,Residual-DIM:80,GAMES,84.50%,75.00%
10,Residual-DIM:100,GAMES,85.93%,75.00%
11,Residual-DIM:120,GAMES,86.63%,75.00%
12,Residual-DIM:140,GAMES,86.63%,75.00%
13,Residual-DIM:160,GAMES,85.52%,75.00%
14,Residual-DIM:180,GAMES,85.40%,75.00%
15,Virtual Logit-DIM:0,GAMES,60.39%,100.00%
16,Virtual Logit-DIM:20,GAMES,75.04%,87.50%
17,Virtual Logit-DIM:40,GAMES,81.43%,62.50%
18,Virtual Logit-DIM:60,GAMES,80.52%,75.00%
19,Virtual Logit-DIM:80,GAMES,81.99%,75.00%
20,Virtual Logit-DIM:100,GAMES,83.28%,75.00%
21,Virtual Logit-DIM:120,GAMES,84.14%,75.00%
22,Virtual Logit-DIM:140,GAMES,84.36%,75.00%
23,Virtual Logit-DIM:160,GAMES,83.54%,75.00%
24,Virtual Logit-DIM:180,GAMES,83.47%,75.00%
25,Virtual Logit-DIM:200,GAMES,83.51%,75.00%
26,Virtual Logit-DIM:220,GAMES,83.33%,75.00%
27,Virtual Logit-DIM:240,GAMES,83.37%,75.00%
28,Mahalanobis,GAMES,42.81%,100.00%
