,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,98.45%,3.33%,74.66%,67.74%,93.03%,23.53%,96.07%,25.00%,90.55%,29.90%,
1,MaxLogit,97.66%,9.50%,78.67%,62.41%,82.56%,72.55%,94.10%,37.50%,88.24%,45.49%,
2,Energy,97.34%,14.25%,78.67%,62.47%,82.07%,73.53%,94.10%,37.50%,88.04%,46.94%,
3,Energy+React,97.34%,14.25%,78.51%,62.83%,82.85%,73.53%,94.09%,37.50%,88.20%,47.03%,
4,Residual-DIM:0,45.58%,94.06%,33.88%,91.28%,31.59%,99.02%,18.08%,100.00%,32.28%,96.09%,
5,Residual-DIM:20,83.02%,96.20%,64.67%,97.40%,93.93%,47.06%,80.01%,87.50%,80.41%,82.04%,
6,Residual-DIM:40,90.09%,66.51%,69.54%,92.98%,96.21%,21.57%,80.94%,87.50%,84.20%,67.14%,
7,Residual-DIM:60,90.45%,80.76%,72.06%,90.62%,97.04%,19.61%,83.14%,87.50%,85.67%,69.62%,
8,Residual-DIM:80,92.19%,56.06%,73.71%,89.53%,97.30%,17.65%,85.17%,75.00%,87.09%,59.56%,
9,Residual-DIM:100,93.50%,50.12%,74.19%,90.50%,97.58%,15.69%,84.96%,87.50%,87.56%,60.95%,
10,Residual-DIM:120,94.29%,43.71%,74.09%,88.86%,97.82%,10.78%,86.93%,87.50%,88.28%,57.71%,
11,Residual-DIM:140,94.49%,37.53%,74.44%,90.07%,97.80%,11.76%,89.27%,87.50%,89.00%,56.72%,
12,Residual-DIM:160,94.29%,42.28%,74.51%,90.80%,97.45%,19.61%,89.22%,87.50%,88.87%,60.05%,
13,Residual-DIM:180,94.49%,35.39%,74.74%,90.38%,97.30%,20.59%,89.81%,87.50%,89.09%,58.46%,
14,Residual-DIM:200,94.39%,43.71%,75.14%,87.71%,97.66%,15.69%,88.37%,87.50%,88.89%,58.65%,
15,Residual-DIM:220,94.17%,40.86%,75.15%,83.29%,98.00%,8.82%,86.95%,62.50%,88.57%,48.87%,
16,Virtual Logit-DIM:0,98.58%,5.23%,79.27%,67.43%,81.55%,79.41%,91.46%,37.50%,87.72%,47.39%,
17,Virtual Logit-DIM:20,93.74%,58.67%,76.10%,92.13%,95.93%,27.45%,90.10%,87.50%,88.97%,66.44%,
18,Virtual Logit-DIM:40,96.07%,26.84%,77.84%,76.45%,97.56%,12.75%,90.83%,62.50%,90.58%,44.63%,
19,Virtual Logit-DIM:60,95.94%,23.04%,79.30%,73.18%,97.97%,9.80%,91.77%,87.50%,91.24%,48.38%,
20,Virtual Logit-DIM:80,96.43%,20.19%,80.03%,68.46%,98.10%,8.82%,92.42%,37.50%,91.75%,33.74%,
21,Virtual Logit-DIM:100,96.84%,19.24%,79.86%,69.79%,98.25%,8.82%,91.72%,87.50%,91.67%,46.34%,
22,Virtual Logit-DIM:120,97.08%,15.44%,79.33%,69.25%,98.36%,6.86%,92.13%,87.50%,91.73%,44.76%,
23,Virtual Logit-DIM:140,96.97%,13.78%,79.56%,72.46%,98.32%,7.84%,92.87%,62.50%,91.93%,39.14%,
24,Virtual Logit-DIM:160,96.74%,15.20%,79.33%,75.79%,98.04%,13.73%,92.76%,62.50%,91.72%,41.80%,
25,Virtual Logit-DIM:180,96.74%,13.06%,79.18%,76.57%,97.93%,14.71%,92.96%,62.50%,91.70%,41.71%,
26,Virtual Logit-DIM:200,96.61%,11.88%,79.59%,77.30%,98.20%,12.75%,92.50%,62.50%,91.72%,41.11%,
27,Virtual Logit-DIM:220,96.56%,13.06%,79.70%,77.66%,98.42%,6.86%,92.50%,62.50%,91.80%,40.02%,
28,Virtual Logit-DIM:240,90.49%,47.03%,73.06%,85.53%,89.84%,39.22%,84.34%,87.50%,84.43%,64.82%,
29,Mahalanobis,93.05%,34.20%,73.59%,90.50%,97.75%,13.73%,86.00%,87.50%,87.60%,56.48%,
