,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,49.91%,99.52%,50.25%,98.85%,50.16%,99.02%,55.89%,87.50%,51.56%,96.22%,
1,MaxLogit,14.75%,100.00%,28.86%,97.09%,62.60%,88.24%,43.30%,100.00%,37.38%,96.33%,
2,Energy,14.75%,100.00%,28.86%,97.09%,62.60%,88.24%,43.30%,100.00%,37.38%,96.33%,
3,Energy+React,9.84%,100.00%,26.82%,99.52%,58.44%,82.35%,42.61%,87.50%,34.43%,92.34%,
4,Residual-DIM:0,35.97%,100.00%,62.19%,98.24%,62.77%,99.02%,69.90%,87.50%,57.71%,96.19%,
5,Residual-DIM:20,98.71%,7.36%,68.15%,83.23%,93.36%,46.08%,70.22%,100.00%,82.61%,59.17%,
6,Residual-DIM:40,98.65%,6.18%,74.47%,70.52%,91.82%,48.04%,82.87%,62.50%,86.96%,46.81%,
7,Residual-DIM:60,98.02%,8.31%,78.79%,72.76%,89.69%,54.90%,83.59%,75.00%,87.52%,52.74%,
8,Residual-DIM:80,96.56%,26.37%,80.57%,70.16%,91.09%,53.92%,85.66%,75.00%,88.47%,56.36%,
9,Residual-DIM:100,95.64%,35.39%,79.88%,70.64%,90.72%,60.78%,86.09%,75.00%,88.08%,60.45%,
10,Residual-DIM:120,95.62%,35.39%,79.39%,73.18%,90.06%,62.75%,85.36%,75.00%,87.61%,61.58%,
11,Residual-DIM:140,95.65%,35.39%,78.71%,74.27%,89.88%,62.75%,84.65%,75.00%,87.22%,61.85%,
12,Residual-DIM:160,95.65%,35.39%,78.46%,74.64%,89.76%,62.75%,84.50%,75.00%,87.10%,61.94%,
13,Residual-DIM:180,95.65%,35.39%,78.40%,74.70%,89.75%,62.75%,84.48%,75.00%,87.07%,61.96%,
14,Residual-DIM:200,95.66%,35.15%,77.98%,76.51%,89.59%,62.75%,83.86%,75.00%,86.77%,62.35%,
15,Residual-DIM:220,95.45%,36.10%,77.13%,77.42%,89.29%,62.75%,82.72%,87.50%,86.15%,65.94%,
16,Virtual Logit-DIM:0,14.67%,100.00%,28.94%,97.09%,62.74%,88.24%,43.54%,100.00%,37.47%,96.33%,
17,Virtual Logit-DIM:20,97.27%,9.74%,45.24%,87.59%,87.59%,36.27%,65.74%,87.50%,73.96%,55.28%,
18,Virtual Logit-DIM:40,97.73%,8.55%,59.52%,77.00%,89.99%,38.24%,66.68%,50.00%,78.48%,43.45%,
19,Virtual Logit-DIM:60,97.24%,8.55%,63.46%,74.21%,86.56%,43.14%,67.44%,75.00%,78.68%,50.23%,
20,Virtual Logit-DIM:80,94.03%,34.44%,66.76%,69.98%,89.75%,36.27%,67.66%,75.00%,79.55%,53.92%,
21,Virtual Logit-DIM:100,89.35%,36.10%,65.94%,71.49%,89.20%,38.24%,68.26%,75.00%,78.19%,55.21%,
22,Virtual Logit-DIM:120,89.41%,36.34%,64.96%,73.61%,88.23%,37.25%,67.71%,75.00%,77.58%,55.55%,
23,Virtual Logit-DIM:140,89.59%,36.34%,64.02%,74.15%,87.99%,40.20%,67.44%,75.00%,77.26%,56.42%,
24,Virtual Logit-DIM:160,89.62%,36.34%,63.62%,74.64%,87.87%,41.18%,67.46%,75.00%,77.14%,56.79%,
25,Virtual Logit-DIM:180,89.62%,36.34%,63.53%,74.64%,87.85%,41.18%,67.46%,75.00%,77.12%,56.79%,
26,Virtual Logit-DIM:200,89.70%,36.34%,62.96%,76.88%,87.68%,42.16%,67.42%,75.00%,76.94%,57.59%,
27,Virtual Logit-DIM:220,88.95%,36.34%,61.60%,79.24%,87.37%,45.10%,67.15%,75.00%,76.27%,58.92%,
28,Virtual Logit-DIM:240,90.51%,36.58%,58.89%,80.08%,87.69%,43.14%,66.48%,75.00%,75.89%,58.70%,
29,Mahalanobis,92.62%,19.95%,72.55%,59.62%,68.96%,49.02%,56.12%,100.00%,72.56%,57.15%,
