,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,94.27%,50.12%,76.69%,84.69%,74.17%,90.20%,76.84%,87.50%,80.49%,78.13%,
1,MaxLogit,86.18%,57.72%,81.91%,62.29%,71.63%,86.27%,72.64%,75.00%,78.09%,70.32%,
2,Energy,79.23%,68.88%,82.33%,55.93%,70.15%,85.29%,66.79%,75.00%,74.62%,71.28%,
3,Energy+React,80.33%,73.63%,83.61%,55.81%,74.14%,79.41%,71.28%,75.00%,77.34%,70.96%,
4,Residual-DIM:0,27.88%,95.49%,21.91%,99.27%,41.88%,86.27%,28.62%,100.00%,30.07%,95.26%,
5,Residual-DIM:20,98.56%,7.60%,67.57%,87.05%,93.26%,48.04%,71.11%,100.00%,82.63%,60.67%,
6,Residual-DIM:40,98.70%,6.18%,74.05%,69.85%,92.03%,45.10%,83.86%,50.00%,87.16%,42.78%,
7,Residual-DIM:60,96.91%,14.25%,78.77%,71.00%,91.26%,50.98%,85.63%,75.00%,88.14%,52.81%,
8,Residual-DIM:80,95.04%,36.34%,79.73%,64.47%,90.88%,51.96%,85.29%,75.00%,87.73%,56.94%,
9,Residual-DIM:100,96.00%,32.54%,79.91%,68.70%,91.11%,54.90%,87.72%,75.00%,88.68%,57.79%,
10,Residual-DIM:120,95.97%,32.54%,78.37%,70.64%,90.65%,56.86%,87.45%,75.00%,88.11%,58.76%,
11,Residual-DIM:140,95.94%,32.54%,77.86%,72.46%,90.30%,57.84%,87.22%,75.00%,87.83%,59.46%,
12,Residual-DIM:160,95.94%,33.73%,77.81%,72.82%,90.33%,57.84%,87.17%,75.00%,87.81%,59.85%,
13,Residual-DIM:180,95.95%,33.73%,77.78%,72.94%,90.33%,57.84%,87.19%,75.00%,87.81%,59.88%,
14,Residual-DIM:200,95.95%,33.73%,77.73%,73.06%,90.32%,57.84%,87.16%,75.00%,87.79%,59.91%,
15,Residual-DIM:220,95.90%,34.44%,77.21%,74.82%,90.22%,57.84%,86.82%,75.00%,87.54%,60.53%,
16,Virtual Logit-DIM:0,79.34%,68.88%,82.25%,55.57%,70.25%,83.33%,66.63%,75.00%,74.62%,70.70%,
17,Virtual Logit-DIM:20,97.89%,8.08%,80.38%,75.97%,92.19%,41.18%,82.77%,100.00%,88.30%,56.31%,
18,Virtual Logit-DIM:40,98.40%,7.36%,81.44%,66.28%,93.23%,35.29%,89.54%,62.50%,90.65%,42.86%,
19,Virtual Logit-DIM:60,96.90%,11.40%,84.18%,65.68%,92.30%,41.18%,87.77%,75.00%,90.29%,48.31%,
20,Virtual Logit-DIM:80,95.00%,17.58%,85.55%,58.60%,91.45%,48.04%,86.09%,62.50%,89.52%,46.68%,
21,Virtual Logit-DIM:100,95.87%,12.35%,85.83%,62.35%,91.85%,47.06%,87.98%,62.50%,90.38%,46.06%,
22,Virtual Logit-DIM:120,95.82%,13.06%,85.30%,67.43%,91.71%,48.04%,87.91%,75.00%,90.18%,50.88%,
23,Virtual Logit-DIM:140,95.79%,13.30%,85.09%,68.22%,91.61%,47.06%,87.86%,75.00%,90.09%,50.90%,
24,Virtual Logit-DIM:160,95.79%,13.54%,85.09%,68.34%,91.64%,47.06%,87.84%,75.00%,90.09%,50.98%,
25,Virtual Logit-DIM:180,95.79%,13.54%,85.08%,68.34%,91.65%,47.06%,87.86%,75.00%,90.10%,50.98%,
26,Virtual Logit-DIM:200,95.79%,13.54%,85.06%,68.46%,91.65%,46.08%,87.85%,75.00%,90.09%,50.77%,
27,Virtual Logit-DIM:220,95.78%,13.78%,84.80%,69.55%,91.60%,48.04%,87.67%,75.00%,89.97%,51.59%,
28,Virtual Logit-DIM:240,95.57%,15.68%,83.32%,74.21%,91.29%,48.04%,86.85%,87.50%,89.26%,56.36%,
29,Mahalanobis,88.48%,24.23%,70.65%,61.38%,71.96%,51.96%,42.81%,100.00%,68.47%,59.39%,
