,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,94.25%,49.41%,76.67%,84.44%,73.97%,91.18%,76.90%,87.50%,80.45%,78.13%,
1,MaxLogit,85.41%,62.47%,81.96%,61.99%,72.36%,86.27%,74.37%,75.00%,78.53%,71.43%,
2,Energy,78.38%,69.60%,82.36%,56.11%,70.75%,82.35%,67.89%,75.00%,74.85%,70.77%,
3,Energy+React,79.29%,74.11%,83.64%,56.17%,74.92%,78.43%,72.51%,75.00%,77.59%,70.93%,
4,Residual-DIM:0,27.94%,95.25%,21.89%,99.21%,41.76%,86.27%,28.58%,100.00%,30.04%,95.18%,
5,Residual-DIM:20,98.56%,7.60%,67.59%,87.05%,93.26%,48.04%,71.11%,100.00%,82.63%,60.67%,
6,Residual-DIM:40,98.72%,6.18%,74.46%,69.79%,92.07%,45.10%,83.86%,50.00%,87.28%,42.77%,
7,Residual-DIM:60,97.04%,14.25%,77.53%,70.52%,91.79%,50.00%,85.69%,75.00%,88.01%,52.44%,
8,Residual-DIM:80,96.65%,10.93%,79.47%,63.98%,91.39%,52.94%,88.44%,75.00%,88.99%,50.71%,
9,Residual-DIM:100,97.30%,10.69%,79.72%,69.37%,91.56%,55.88%,90.55%,75.00%,89.78%,52.74%,
10,Residual-DIM:120,97.51%,9.98%,78.68%,71.19%,91.02%,57.84%,89.83%,75.00%,89.26%,53.50%,
11,Residual-DIM:140,97.56%,9.98%,78.64%,72.46%,90.76%,57.84%,89.78%,75.00%,89.19%,53.82%,
12,Residual-DIM:160,97.59%,9.98%,78.66%,72.64%,90.77%,57.84%,89.78%,75.00%,89.20%,53.86%,
13,Residual-DIM:180,97.60%,9.98%,78.65%,72.70%,90.77%,57.84%,89.77%,75.00%,89.20%,53.88%,
14,Residual-DIM:200,97.60%,9.98%,78.61%,72.70%,90.76%,57.84%,89.76%,75.00%,89.18%,53.88%,
15,Residual-DIM:220,97.63%,9.98%,78.35%,73.00%,90.62%,58.82%,89.56%,75.00%,89.04%,54.20%,
16,Virtual Logit-DIM:0,78.48%,69.60%,82.29%,56.11%,70.87%,84.31%,67.74%,75.00%,74.85%,71.26%,
17,Virtual Logit-DIM:20,97.88%,8.08%,80.45%,76.09%,92.52%,41.18%,82.93%,100.00%,88.45%,56.34%,
18,Virtual Logit-DIM:40,98.39%,7.36%,81.61%,66.53%,93.35%,35.29%,89.41%,62.50%,90.69%,42.92%,
19,Virtual Logit-DIM:60,97.00%,10.69%,83.38%,65.68%,92.75%,42.16%,87.99%,75.00%,90.28%,48.38%,
20,Virtual Logit-DIM:80,96.36%,10.69%,85.18%,58.96%,91.95%,46.08%,89.27%,62.50%,90.69%,44.56%,
21,Virtual Logit-DIM:100,96.97%,9.74%,85.28%,63.80%,92.05%,44.12%,90.96%,75.00%,91.32%,48.16%,
22,Virtual Logit-DIM:120,97.18%,9.74%,84.85%,67.37%,91.84%,49.02%,90.80%,75.00%,91.17%,50.28%,
23,Virtual Logit-DIM:140,97.25%,9.98%,84.86%,67.80%,91.77%,50.98%,90.92%,75.00%,91.20%,50.94%,
24,Virtual Logit-DIM:160,97.27%,9.98%,84.88%,67.98%,91.79%,50.98%,90.96%,75.00%,91.23%,50.98%,
25,Virtual Logit-DIM:180,97.27%,9.98%,84.87%,67.98%,91.80%,50.98%,90.97%,75.00%,91.23%,50.98%,
26,Virtual Logit-DIM:200,97.28%,9.74%,84.85%,68.04%,91.80%,50.98%,90.96%,75.00%,91.22%,50.94%,
27,Virtual Logit-DIM:220,97.32%,9.74%,84.71%,68.89%,91.75%,50.98%,90.94%,75.00%,91.18%,51.15%,
28,Virtual Logit-DIM:240,97.44%,9.03%,83.62%,72.58%,91.75%,52.94%,90.61%,75.00%,90.86%,52.39%,
29,Mahalanobis,92.62%,19.95%,72.55%,59.62%,68.96%,49.02%,56.12%,100.00%,72.56%,57.15%,
