,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,77.03%,97.86%,57.43%,98.49%,61.52%,94.12%,67.39%,100.00%,65.84%,97.62%,
1,MaxLogit,24.67%,100.00%,40.99%,98.31%,59.30%,90.20%,58.23%,100.00%,45.80%,97.13%,
2,Energy,21.54%,100.00%,39.79%,98.12%,59.32%,89.22%,57.72%,100.00%,44.59%,96.83%,
3,Energy+React,16.61%,99.76%,35.85%,98.31%,63.90%,83.33%,62.34%,75.00%,44.68%,89.10%,
4,Residual-DIM:0,28.31%,100.00%,50.02%,98.79%,42.83%,98.04%,43.18%,100.00%,41.09%,99.21%,
5,Residual-DIM:20,98.72%,7.36%,68.28%,83.72%,93.44%,48.04%,70.95%,100.00%,82.84%,59.78%,
6,Residual-DIM:40,98.70%,6.18%,74.15%,69.98%,91.73%,47.06%,83.43%,62.50%,87.00%,46.43%,
7,Residual-DIM:60,96.83%,15.68%,78.79%,71.85%,90.14%,53.92%,83.02%,75.00%,87.20%,54.11%,
8,Residual-DIM:80,95.88%,34.44%,81.36%,66.95%,91.78%,46.08%,84.65%,75.00%,88.42%,55.62%,
9,Residual-DIM:100,96.24%,31.35%,82.57%,60.90%,90.57%,52.94%,85.56%,75.00%,88.74%,55.05%,
10,Residual-DIM:120,97.13%,14.49%,82.65%,63.80%,90.07%,55.88%,86.49%,75.00%,89.08%,52.29%,
11,Residual-DIM:140,97.19%,22.80%,81.99%,66.59%,89.83%,56.86%,86.42%,75.00%,88.86%,55.31%,
12,Residual-DIM:160,97.19%,26.13%,81.53%,67.62%,89.31%,56.86%,86.28%,75.00%,88.58%,56.40%,
13,Residual-DIM:180,97.20%,26.37%,81.48%,67.74%,89.31%,55.88%,86.35%,75.00%,88.59%,56.25%,
14,Residual-DIM:200,97.21%,25.89%,81.39%,67.92%,89.27%,55.88%,86.37%,75.00%,88.56%,56.17%,
15,Residual-DIM:220,97.28%,19.48%,80.46%,67.80%,88.91%,56.86%,86.45%,75.00%,88.27%,54.78%,
16,Virtual Logit-DIM:0,21.52%,100.00%,39.81%,98.12%,59.30%,89.22%,57.67%,100.00%,44.57%,96.83%,
17,Virtual Logit-DIM:20,96.59%,10.69%,60.41%,95.58%,86.76%,55.88%,65.70%,87.50%,77.36%,62.41%,
18,Virtual Logit-DIM:40,96.78%,9.98%,67.85%,80.33%,85.78%,55.88%,71.63%,62.50%,80.51%,52.17%,
19,Virtual Logit-DIM:60,92.81%,42.28%,72.67%,80.33%,84.73%,57.84%,72.82%,75.00%,80.76%,63.86%,
20,Virtual Logit-DIM:80,91.55%,42.52%,76.51%,73.06%,88.13%,53.92%,77.70%,75.00%,83.47%,61.13%,
21,Virtual Logit-DIM:100,91.60%,43.47%,77.71%,71.73%,85.91%,59.80%,80.19%,75.00%,83.85%,62.50%,
22,Virtual Logit-DIM:120,93.38%,39.67%,76.96%,72.09%,85.48%,61.76%,80.21%,87.50%,84.01%,65.26%,
23,Virtual Logit-DIM:140,93.49%,40.38%,75.55%,75.48%,85.14%,61.76%,78.71%,87.50%,83.22%,66.28%,
24,Virtual Logit-DIM:160,93.50%,40.86%,74.60%,77.72%,84.43%,60.78%,77.93%,87.50%,82.61%,66.72%,
25,Virtual Logit-DIM:180,93.55%,40.86%,74.53%,77.85%,84.43%,60.78%,78.00%,87.50%,82.63%,66.75%,
26,Virtual Logit-DIM:200,93.56%,40.86%,74.41%,77.78%,84.37%,60.78%,77.95%,87.50%,82.57%,66.73%,
27,Virtual Logit-DIM:220,93.72%,40.62%,73.65%,77.97%,83.98%,60.78%,78.35%,87.50%,82.43%,66.72%,
28,Virtual Logit-DIM:240,95.92%,33.02%,72.77%,76.69%,83.44%,59.80%,74.34%,87.50%,81.62%,64.25%,
29,Mahalanobis,88.48%,24.23%,70.65%,61.38%,71.96%,51.96%,42.81%,100.00%,68.47%,59.39%,
