,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,96.70%,18.05%,72.85%,72.03%,86.79%,27.45%,97.53%,12.50%,88.47%,32.51%,
1,MaxLogit,95.63%,21.85%,73.30%,69.67%,71.51%,47.06%,98.27%,0.00%,84.68%,34.65%,
2,Energy,95.52%,22.33%,73.22%,69.67%,70.39%,48.04%,98.31%,0.00%,84.36%,35.01%,
3,Energy+React,95.68%,23.28%,73.00%,71.13%,69.70%,52.94%,98.03%,0.00%,84.10%,36.84%,
4,Residual-DIM:0,11.23%,100.00%,28.24%,99.21%,9.97%,100.00%,12.04%,100.00%,15.37%,99.80%,
5,Residual-DIM:20,97.38%,14.25%,79.46%,65.98%,97.29%,9.80%,96.34%,12.50%,92.62%,25.63%,
6,Residual-DIM:40,98.43%,11.64%,81.04%,57.69%,98.47%,5.88%,96.88%,0.00%,93.71%,18.80%,
7,Residual-DIM:60,98.38%,10.93%,81.97%,59.44%,98.70%,6.86%,96.75%,25.00%,93.95%,25.56%,
8,Residual-DIM:80,98.71%,9.50%,83.16%,56.72%,98.79%,6.86%,96.85%,0.00%,94.38%,18.27%,
9,Residual-DIM:100,98.65%,8.79%,82.98%,57.99%,98.83%,6.86%,96.89%,12.50%,94.34%,21.54%,
10,Residual-DIM:120,98.71%,9.26%,83.18%,57.26%,98.67%,6.86%,96.42%,25.00%,94.24%,24.60%,
11,Residual-DIM:140,98.61%,9.50%,83.33%,56.60%,98.48%,6.86%,95.20%,25.00%,93.91%,24.49%,
12,Residual-DIM:160,98.40%,10.45%,82.67%,56.23%,98.47%,7.84%,94.27%,25.00%,93.45%,24.88%,
13,Residual-DIM:180,98.40%,9.74%,82.94%,54.60%,98.41%,7.84%,94.25%,25.00%,93.50%,24.30%,
14,Residual-DIM:200,98.35%,9.74%,83.00%,55.21%,98.33%,9.80%,93.63%,25.00%,93.33%,24.94%,
15,Residual-DIM:220,98.18%,9.03%,82.31%,57.75%,98.15%,7.84%,91.92%,50.00%,92.64%,31.15%,
16,Virtual Logit-DIM:0,95.39%,23.99%,73.08%,69.92%,69.64%,50.00%,98.31%,0.00%,84.11%,35.98%,
17,Virtual Logit-DIM:20,98.22%,5.94%,79.71%,65.86%,95.94%,22.55%,97.78%,0.00%,92.91%,23.59%,
18,Virtual Logit-DIM:40,98.99%,4.28%,81.49%,57.75%,97.71%,12.75%,98.02%,0.00%,94.05%,18.69%,
19,Virtual Logit-DIM:60,99.00%,6.18%,82.15%,60.84%,98.34%,7.84%,97.90%,0.00%,94.35%,18.71%,
20,Virtual Logit-DIM:80,99.22%,6.65%,83.24%,57.14%,98.75%,5.88%,98.04%,0.00%,94.81%,17.42%,
21,Virtual Logit-DIM:100,99.21%,6.65%,83.40%,59.20%,98.92%,7.84%,98.04%,0.00%,94.89%,18.42%,
22,Virtual Logit-DIM:120,99.24%,5.70%,83.60%,57.81%,98.79%,6.86%,97.84%,12.50%,94.87%,20.72%,
23,Virtual Logit-DIM:140,99.16%,7.36%,83.92%,58.66%,98.75%,5.88%,97.21%,25.00%,94.76%,24.23%,
24,Virtual Logit-DIM:160,99.06%,8.08%,83.63%,57.87%,98.83%,5.88%,96.75%,25.00%,94.57%,24.21%,
25,Virtual Logit-DIM:180,99.05%,7.36%,83.85%,56.78%,98.74%,7.84%,96.61%,25.00%,94.56%,24.25%,
26,Virtual Logit-DIM:200,98.98%,7.84%,83.97%,55.69%,98.69%,6.86%,96.21%,25.00%,94.46%,23.85%,
27,Virtual Logit-DIM:220,98.88%,7.13%,83.74%,57.93%,98.74%,6.86%,95.45%,25.00%,94.20%,24.23%,
28,Virtual Logit-DIM:240,98.37%,9.50%,81.69%,57.32%,98.58%,7.84%,95.61%,25.00%,93.56%,24.92%,
29,Mahalanobis,98.43%,9.74%,82.64%,57.02%,98.96%,6.86%,96.58%,25.00%,94.15%,24.66%,
