,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,92.21%,67.22%,71.03%,81.30%,62.62%,94.12%,72.64%,75.00%,74.62%,79.41%,
1,MaxLogit,92.65%,67.46%,70.94%,75.36%,65.22%,89.22%,74.16%,75.00%,75.74%,76.76%,
2,Energy,92.30%,69.12%,71.27%,73.55%,66.08%,83.33%,75.04%,75.00%,76.17%,75.25%,
3,Energy+React,92.21%,69.12%,71.15%,73.43%,66.25%,83.33%,75.04%,87.50%,76.16%,78.35%,
4,Residual-DIM:0,11.54%,100.00%,30.37%,99.21%,52.24%,97.06%,31.52%,100.00%,31.42%,99.07%,
5,Residual-DIM:20,82.75%,82.90%,66.31%,92.98%,83.93%,63.73%,78.65%,87.50%,77.91%,81.78%,
6,Residual-DIM:40,86.63%,55.34%,67.75%,94.31%,86.97%,63.73%,81.77%,87.50%,80.78%,75.22%,
7,Residual-DIM:60,89.89%,33.49%,69.89%,90.50%,89.70%,54.90%,80.82%,87.50%,82.57%,66.60%,
8,Residual-DIM:80,90.56%,33.02%,71.85%,82.69%,91.17%,52.94%,80.81%,87.50%,83.60%,64.04%,
9,Residual-DIM:100,91.36%,31.83%,73.34%,87.83%,91.92%,56.86%,81.88%,87.50%,84.62%,66.01%,
10,Residual-DIM:120,91.86%,31.83%,74.76%,83.72%,92.26%,52.94%,81.93%,100.00%,85.20%,67.12%,
11,Residual-DIM:140,92.31%,28.98%,74.57%,79.78%,92.82%,49.02%,81.24%,100.00%,85.24%,64.45%,
12,Residual-DIM:160,92.80%,26.60%,75.37%,81.66%,93.00%,45.10%,84.09%,100.00%,86.32%,63.34%,
13,Residual-DIM:180,93.11%,24.94%,76.00%,82.99%,92.62%,45.10%,85.19%,100.00%,86.73%,63.26%,
14,Residual-DIM:200,92.95%,23.75%,75.51%,83.60%,92.23%,46.08%,86.81%,100.00%,86.87%,63.36%,
15,Residual-DIM:220,93.17%,25.89%,76.16%,83.11%,90.73%,47.06%,87.16%,87.50%,86.81%,60.89%,
16,Virtual Logit-DIM:0,92.09%,69.12%,71.13%,74.03%,66.27%,84.31%,75.15%,87.50%,76.16%,78.74%,
17,Virtual Logit-DIM:20,87.88%,74.35%,68.73%,89.95%,81.75%,63.73%,80.58%,87.50%,79.74%,78.88%,
18,Virtual Logit-DIM:40,90.31%,53.44%,69.81%,93.22%,84.98%,62.75%,83.43%,87.50%,82.13%,74.23%,
19,Virtual Logit-DIM:60,92.61%,31.35%,71.38%,86.92%,87.60%,57.84%,83.00%,87.50%,83.65%,65.91%,
20,Virtual Logit-DIM:80,92.97%,30.40%,72.89%,82.38%,89.25%,53.92%,83.33%,100.00%,84.61%,66.68%,
21,Virtual Logit-DIM:100,93.50%,29.45%,73.88%,80.93%,90.17%,53.92%,84.23%,100.00%,85.44%,66.08%,
22,Virtual Logit-DIM:120,93.81%,28.27%,75.01%,79.48%,90.59%,55.88%,84.26%,100.00%,85.91%,65.91%,
23,Virtual Logit-DIM:140,94.12%,25.89%,74.88%,77.36%,91.29%,52.94%,83.08%,100.00%,85.84%,64.05%,
24,Virtual Logit-DIM:160,94.46%,25.65%,75.57%,77.72%,91.46%,49.02%,86.02%,100.00%,86.88%,63.10%,
25,Virtual Logit-DIM:180,94.66%,23.75%,76.10%,80.81%,91.03%,48.04%,87.27%,100.00%,87.26%,63.15%,
26,Virtual Logit-DIM:200,94.50%,22.80%,75.61%,81.66%,90.56%,48.04%,88.23%,75.00%,87.22%,56.88%,
27,Virtual Logit-DIM:220,94.64%,25.18%,76.27%,79.84%,88.75%,46.08%,88.72%,87.50%,87.10%,59.65%,
28,Virtual Logit-DIM:240,92.38%,42.99%,74.09%,83.23%,88.84%,45.10%,84.47%,87.50%,84.95%,64.71%,
29,Mahalanobis,89.81%,30.64%,72.98%,88.86%,91.26%,51.96%,81.95%,87.50%,84.00%,64.74%,
