,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,96.15%,22.33%,75.17%,73.18%,94.47%,35.29%,96.83%,37.50%,90.65%,42.08%,
1,MaxLogit,97.69%,9.74%,76.87%,70.22%,80.26%,36.27%,98.36%,0.00%,88.29%,29.06%,
2,Energy,97.86%,9.03%,76.82%,70.64%,79.80%,37.25%,98.50%,0.00%,88.25%,29.23%,
3,Energy+React,97.83%,9.03%,77.02%,70.94%,80.01%,36.27%,98.55%,0.00%,88.35%,29.06%,
4,Residual-DIM:0,12.43%,100.00%,26.11%,99.33%,13.73%,100.00%,11.17%,100.00%,15.86%,99.83%,
5,Residual-DIM:20,96.38%,18.76%,76.12%,63.98%,96.26%,20.59%,92.64%,62.50%,90.35%,41.46%,
6,Residual-DIM:40,97.36%,11.64%,79.08%,61.92%,97.16%,13.73%,94.45%,50.00%,92.01%,34.32%,
7,Residual-DIM:60,97.68%,11.64%,80.23%,60.84%,97.82%,11.76%,93.20%,62.50%,92.23%,36.68%,
8,Residual-DIM:80,97.92%,11.40%,78.79%,60.59%,97.71%,12.75%,92.53%,62.50%,91.74%,36.81%,
9,Residual-DIM:100,98.05%,10.45%,79.42%,57.51%,97.91%,9.80%,92.59%,62.50%,91.99%,35.07%,
10,Residual-DIM:120,98.34%,10.21%,79.16%,58.05%,98.02%,8.82%,91.07%,62.50%,91.65%,34.90%,
11,Residual-DIM:140,98.16%,10.21%,79.40%,60.23%,98.06%,9.80%,90.01%,62.50%,91.41%,35.69%,
12,Residual-DIM:160,97.73%,11.40%,80.14%,59.81%,97.68%,12.75%,87.67%,62.50%,90.81%,36.61%,
13,Residual-DIM:180,97.58%,12.59%,79.86%,59.32%,97.15%,12.75%,88.19%,75.00%,90.69%,39.91%,
14,Residual-DIM:200,97.70%,11.64%,79.44%,64.04%,96.91%,15.69%,88.20%,75.00%,90.56%,41.59%,
15,Residual-DIM:220,97.60%,10.69%,79.69%,66.22%,96.75%,13.73%,90.19%,62.50%,91.05%,38.28%,
16,Virtual Logit-DIM:0,97.87%,9.03%,76.76%,71.00%,79.53%,37.25%,98.56%,0.00%,88.18%,29.32%,
17,Virtual Logit-DIM:20,97.76%,14.25%,78.87%,65.25%,96.93%,13.73%,95.81%,37.50%,92.34%,32.68%,
18,Virtual Logit-DIM:40,98.40%,10.21%,81.29%,60.41%,97.72%,8.82%,96.52%,37.50%,93.48%,29.24%,
19,Virtual Logit-DIM:60,98.54%,9.98%,82.55%,58.41%,98.19%,8.82%,95.83%,37.50%,93.78%,28.68%,
20,Virtual Logit-DIM:80,98.71%,9.50%,81.87%,60.47%,98.15%,9.80%,95.39%,62.50%,93.53%,35.57%,
21,Virtual Logit-DIM:100,98.76%,9.26%,82.21%,58.66%,98.35%,7.84%,95.49%,62.50%,93.70%,34.57%,
22,Virtual Logit-DIM:120,98.92%,8.08%,81.93%,59.26%,98.46%,7.84%,94.75%,62.50%,93.51%,34.42%,
23,Virtual Logit-DIM:140,98.80%,9.26%,82.01%,58.66%,98.49%,6.86%,94.03%,50.00%,93.33%,31.20%,
24,Virtual Logit-DIM:160,98.53%,10.45%,82.62%,57.87%,98.18%,9.80%,92.79%,50.00%,93.03%,32.03%,
25,Virtual Logit-DIM:180,98.39%,10.21%,82.41%,58.23%,97.72%,10.78%,92.81%,75.00%,92.83%,38.56%,
26,Virtual Logit-DIM:200,98.42%,9.98%,82.05%,60.90%,97.57%,10.78%,92.58%,62.50%,92.66%,36.04%,
27,Virtual Logit-DIM:220,98.42%,9.50%,82.43%,64.23%,97.50%,9.80%,93.68%,62.50%,93.01%,36.51%,
28,Virtual Logit-DIM:240,98.17%,7.13%,82.46%,64.59%,97.78%,8.82%,93.78%,50.00%,93.05%,32.63%,
29,Mahalanobis,97.62%,11.64%,79.39%,62.17%,97.95%,9.80%,91.76%,62.50%,91.68%,36.53%,
