,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,95.79%,22.80%,78.13%,68.28%,88.76%,28.43%,97.56%,12.50%,90.06%,33.00%,
1,MaxLogit,96.13%,16.63%,74.57%,68.34%,77.92%,39.22%,97.86%,12.50%,86.62%,34.17%,
2,Energy,96.02%,15.68%,74.46%,68.89%,76.89%,39.22%,97.82%,0.00%,86.30%,30.94%,
3,Energy+React,96.01%,14.01%,75.07%,68.83%,77.02%,37.25%,97.61%,12.50%,86.43%,33.15%,
4,Residual-DIM:0,9.64%,100.00%,23.76%,99.64%,9.03%,100.00%,10.20%,100.00%,13.16%,99.91%,
5,Residual-DIM:20,97.76%,15.44%,77.56%,69.19%,95.35%,24.51%,95.20%,37.50%,91.47%,36.66%,
6,Residual-DIM:40,98.60%,9.98%,80.88%,58.78%,97.31%,13.73%,95.23%,50.00%,93.00%,33.12%,
7,Residual-DIM:60,98.04%,12.59%,81.96%,57.99%,97.77%,12.75%,95.00%,37.50%,93.19%,30.21%,
8,Residual-DIM:80,98.40%,11.16%,83.25%,56.23%,98.07%,9.80%,94.74%,50.00%,93.61%,31.80%,
9,Residual-DIM:100,98.51%,10.69%,84.26%,55.39%,98.07%,6.86%,94.87%,50.00%,93.93%,30.73%,
10,Residual-DIM:120,98.24%,10.93%,84.23%,56.23%,98.16%,6.86%,94.39%,50.00%,93.76%,31.01%,
11,Residual-DIM:140,98.19%,10.21%,84.51%,54.78%,98.09%,9.80%,94.57%,50.00%,93.84%,31.20%,
12,Residual-DIM:160,97.85%,10.45%,84.62%,55.51%,98.29%,9.80%,92.91%,50.00%,93.42%,31.44%,
13,Residual-DIM:180,98.21%,8.55%,84.25%,54.66%,98.31%,7.84%,93.02%,50.00%,93.45%,30.26%,
14,Residual-DIM:200,98.25%,8.31%,83.59%,56.11%,98.39%,6.86%,93.77%,50.00%,93.50%,30.32%,
15,Residual-DIM:220,98.34%,7.60%,83.38%,55.27%,98.43%,6.86%,94.38%,50.00%,93.63%,29.93%,
16,Virtual Logit-DIM:0,95.66%,18.05%,74.11%,69.13%,75.71%,40.20%,97.70%,12.50%,85.79%,34.97%,
17,Virtual Logit-DIM:20,98.48%,5.23%,78.35%,65.25%,95.52%,25.49%,97.11%,12.50%,92.37%,27.12%,
18,Virtual Logit-DIM:40,99.01%,6.65%,81.16%,58.11%,97.78%,11.76%,96.55%,12.50%,93.63%,22.26%,
19,Virtual Logit-DIM:60,98.73%,10.93%,81.90%,56.84%,98.00%,9.80%,96.79%,12.50%,93.86%,22.52%,
20,Virtual Logit-DIM:80,98.96%,9.50%,83.09%,56.36%,98.27%,4.90%,96.58%,12.50%,94.22%,20.81%,
21,Virtual Logit-DIM:100,99.04%,9.03%,83.99%,55.57%,98.33%,4.90%,96.67%,12.50%,94.51%,20.50%,
22,Virtual Logit-DIM:120,98.93%,8.31%,84.07%,55.99%,98.44%,3.92%,96.38%,12.50%,94.45%,20.18%,
23,Virtual Logit-DIM:140,98.93%,7.60%,84.37%,54.84%,98.44%,5.88%,96.45%,25.00%,94.55%,23.33%,
24,Virtual Logit-DIM:160,98.79%,7.36%,84.47%,55.63%,98.64%,5.88%,95.63%,37.50%,94.39%,26.59%,
25,Virtual Logit-DIM:180,98.93%,6.41%,84.23%,55.27%,98.67%,4.90%,95.54%,50.00%,94.34%,29.15%,
26,Virtual Logit-DIM:200,98.91%,7.13%,83.73%,56.17%,98.72%,4.90%,95.82%,37.50%,94.29%,26.43%,
27,Virtual Logit-DIM:220,98.91%,6.41%,83.71%,55.27%,98.74%,5.88%,96.15%,25.00%,94.38%,23.14%,
28,Virtual Logit-DIM:240,98.82%,7.13%,83.58%,57.14%,98.34%,8.82%,94.58%,50.00%,93.83%,30.77%,
29,Mahalanobis,98.21%,10.21%,83.40%,56.42%,98.40%,7.84%,93.96%,37.50%,93.49%,27.99%,
