,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,95.13%,16.86%,77.79%,63.98%,89.64%,24.51%,90.91%,25.00%,88.37%,32.59%,
1,MaxLogit,92.98%,51.54%,81.08%,57.93%,94.61%,24.51%,93.84%,37.50%,90.63%,42.87%,
2,Energy,92.81%,52.26%,81.08%,58.11%,94.52%,24.51%,93.82%,37.50%,90.56%,43.09%,
3,Energy+React,92.75%,52.26%,81.38%,58.35%,94.72%,24.51%,93.64%,37.50%,90.62%,43.15%,
4,Residual-DIM:0,34.33%,100.00%,27.12%,98.67%,29.43%,99.02%,8.93%,100.00%,24.95%,99.42%,
5,Residual-DIM:20,96.65%,19.00%,66.20%,85.41%,93.34%,45.10%,81.01%,87.50%,84.30%,59.25%,
6,Residual-DIM:40,97.65%,11.64%,72.57%,83.96%,95.15%,36.27%,85.37%,62.50%,87.69%,48.59%,
7,Residual-DIM:60,98.47%,6.41%,75.88%,81.48%,96.41%,21.57%,85.90%,100.00%,89.16%,52.36%,
8,Residual-DIM:80,98.86%,4.04%,77.68%,76.15%,97.20%,15.69%,87.38%,50.00%,90.28%,36.47%,
9,Residual-DIM:100,98.76%,4.04%,78.14%,74.64%,97.75%,12.75%,89.26%,100.00%,90.98%,47.85%,
10,Residual-DIM:120,98.95%,3.33%,79.22%,79.30%,97.85%,12.75%,89.70%,87.50%,91.43%,45.72%,
11,Residual-DIM:140,99.00%,3.56%,78.93%,71.07%,98.18%,12.75%,90.11%,100.00%,91.56%,46.84%,
12,Residual-DIM:160,99.13%,4.28%,78.09%,73.24%,98.09%,15.69%,89.24%,100.00%,91.14%,48.30%,
13,Residual-DIM:180,98.68%,5.70%,77.43%,75.36%,98.01%,14.71%,90.88%,87.50%,91.25%,45.82%,
14,Residual-DIM:200,89.25%,47.27%,76.44%,87.53%,89.57%,54.90%,74.64%,87.50%,82.47%,69.30%,
15,Residual-DIM:220,98.37%,5.94%,77.18%,78.75%,96.00%,22.55%,88.76%,87.50%,90.08%,48.69%,
16,Virtual Logit-DIM:0,92.07%,30.64%,77.65%,69.49%,93.50%,28.43%,79.37%,75.00%,85.65%,50.89%,
17,Virtual Logit-DIM:20,98.25%,9.98%,75.93%,74.70%,97.51%,9.80%,92.47%,50.00%,91.04%,36.12%,
18,Virtual Logit-DIM:40,98.53%,5.46%,78.82%,72.09%,97.71%,7.84%,92.48%,62.50%,91.88%,36.98%,
19,Virtual Logit-DIM:60,98.99%,3.80%,80.40%,66.89%,98.11%,4.90%,92.13%,62.50%,92.41%,34.52%,
20,Virtual Logit-DIM:80,99.23%,3.33%,81.49%,66.46%,98.48%,3.92%,92.71%,62.50%,92.98%,34.05%,
21,Virtual Logit-DIM:100,99.08%,3.09%,81.59%,63.32%,98.75%,1.96%,93.33%,62.50%,93.19%,32.72%,
22,Virtual Logit-DIM:120,99.23%,2.61%,82.18%,63.56%,98.74%,1.96%,93.50%,62.50%,93.41%,32.66%,
23,Virtual Logit-DIM:140,99.22%,3.33%,81.95%,62.41%,98.86%,1.96%,93.45%,62.50%,93.37%,32.55%,
24,Virtual Logit-DIM:160,99.31%,2.61%,81.16%,64.10%,98.74%,2.94%,92.53%,50.00%,92.93%,29.91%,
25,Virtual Logit-DIM:180,98.95%,4.28%,80.69%,64.83%,98.62%,2.94%,93.44%,50.00%,92.93%,30.51%,
26,Virtual Logit-DIM:200,93.54%,42.76%,80.27%,79.90%,93.70%,39.22%,83.44%,62.50%,87.74%,56.09%,
27,Virtual Logit-DIM:220,98.88%,3.56%,81.18%,69.37%,97.48%,10.78%,93.61%,50.00%,92.79%,33.43%,
28,Virtual Logit-DIM:240,98.70%,4.04%,80.96%,70.58%,97.33%,11.76%,93.49%,37.50%,92.62%,30.97%,
29,Mahalanobis,98.37%,7.36%,76.33%,78.15%,97.59%,12.75%,88.16%,100.00%,90.11%,49.56%,
