,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,93.36%,31.59%,72.43%,76.45%,64.30%,67.65%,87.86%,62.50%,79.49%,59.55%,
1,MaxLogit,96.99%,20.67%,75.16%,72.40%,83.36%,53.92%,94.11%,62.50%,87.40%,52.37%,
2,Energy,97.04%,20.19%,75.18%,71.85%,83.29%,53.92%,94.10%,62.50%,87.40%,52.12%,
3,Energy+React,97.07%,18.05%,75.59%,72.70%,80.86%,52.94%,95.03%,62.50%,87.14%,51.55%,
4,Residual-DIM:0,8.48%,100.00%,37.41%,95.28%,10.17%,100.00%,10.89%,100.00%,16.74%,98.82%,
5,Residual-DIM:20,96.26%,22.80%,71.21%,84.26%,96.04%,16.67%,88.67%,100.00%,88.04%,55.93%,
6,Residual-DIM:40,97.54%,13.06%,72.52%,80.08%,96.54%,19.61%,92.01%,87.50%,89.65%,50.06%,
7,Residual-DIM:60,97.78%,9.26%,73.08%,80.93%,96.85%,15.69%,90.27%,87.50%,89.49%,48.35%,
8,Residual-DIM:80,97.42%,11.88%,70.74%,79.78%,96.72%,20.59%,90.24%,87.50%,88.78%,49.94%,
9,Residual-DIM:100,95.61%,28.27%,70.97%,83.60%,96.64%,19.61%,88.31%,100.00%,87.88%,57.87%,
10,Residual-DIM:120,94.06%,46.08%,69.23%,87.83%,96.53%,20.59%,87.65%,87.50%,86.87%,60.50%,
11,Residual-DIM:140,95.65%,31.83%,71.34%,82.20%,95.31%,25.49%,89.59%,87.50%,87.97%,56.76%,
12,Residual-DIM:160,96.08%,35.63%,71.07%,87.41%,95.19%,30.39%,90.51%,75.00%,88.21%,57.11%,
13,Residual-DIM:180,93.57%,41.81%,67.36%,84.50%,95.51%,23.53%,87.06%,87.50%,85.87%,59.33%,
14,Residual-DIM:200,93.52%,42.28%,67.30%,84.62%,95.47%,25.49%,87.03%,87.50%,85.83%,59.97%,
15,Residual-DIM:220,93.52%,42.28%,67.29%,84.62%,95.46%,25.49%,87.02%,87.50%,85.82%,59.97%,
16,Virtual Logit-DIM:0,97.01%,20.67%,75.13%,71.67%,82.72%,53.92%,93.99%,62.50%,87.21%,52.19%,
17,Virtual Logit-DIM:20,97.23%,15.91%,74.18%,77.48%,96.12%,14.71%,92.10%,87.50%,89.91%,48.90%,
18,Virtual Logit-DIM:40,98.03%,7.36%,74.87%,75.06%,96.63%,15.69%,94.19%,75.00%,90.93%,43.28%,
19,Virtual Logit-DIM:60,98.20%,5.46%,75.10%,74.58%,97.09%,13.73%,92.99%,87.50%,90.84%,45.32%,
20,Virtual Logit-DIM:80,97.98%,6.65%,72.86%,74.15%,97.03%,19.61%,92.54%,87.50%,90.10%,46.98%,
21,Virtual Logit-DIM:100,96.68%,21.62%,73.01%,78.09%,96.91%,16.67%,90.98%,87.50%,89.40%,50.97%,
22,Virtual Logit-DIM:120,95.78%,42.76%,71.67%,84.50%,96.75%,17.65%,90.82%,75.00%,88.76%,54.98%,
23,Virtual Logit-DIM:140,96.92%,13.06%,73.86%,76.09%,95.75%,20.59%,92.28%,87.50%,89.70%,49.31%,
24,Virtual Logit-DIM:160,97.15%,10.69%,74.87%,77.48%,95.91%,22.55%,93.01%,75.00%,90.24%,46.43%,
25,Virtual Logit-DIM:180,96.18%,32.78%,71.86%,75.79%,96.28%,19.61%,91.41%,87.50%,88.93%,53.92%,
26,Virtual Logit-DIM:200,96.16%,32.78%,71.84%,75.67%,96.26%,19.61%,91.39%,87.50%,88.91%,53.89%,
27,Virtual Logit-DIM:220,96.16%,32.78%,71.84%,75.73%,96.25%,19.61%,91.38%,87.50%,88.91%,53.90%,
28,Virtual Logit-DIM:240,96.15%,33.25%,71.83%,75.79%,96.24%,20.59%,91.34%,87.50%,88.89%,54.28%,
29,Mahalanobis,96.98%,14.96%,70.98%,80.75%,96.99%,16.67%,90.23%,87.50%,88.79%,49.97%,
