,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,97.38%,9.03%,66.70%,72.15%,79.93%,39.22%,94.35%,37.50%,84.59%,39.47%,
1,MaxLogit,95.49%,15.20%,63.32%,68.28%,82.51%,38.24%,91.75%,12.50%,83.27%,33.55%,
2,Energy,95.43%,15.20%,63.27%,68.52%,82.47%,38.24%,91.75%,12.50%,83.23%,33.62%,
3,Energy+React,98.56%,5.46%,63.30%,68.64%,85.19%,38.24%,92.31%,12.50%,84.84%,31.21%,
4,Residual-DIM:0,9.95%,100.00%,35.32%,98.43%,22.57%,100.00%,13.53%,100.00%,20.34%,99.61%,
5,Residual-DIM:20,98.03%,3.33%,76.93%,72.64%,95.77%,27.45%,95.57%,37.50%,91.58%,35.23%,
6,Residual-DIM:40,98.79%,5.70%,78.01%,70.70%,97.41%,15.69%,96.35%,25.00%,92.64%,29.27%,
7,Residual-DIM:60,98.74%,5.70%,78.57%,68.34%,97.86%,12.75%,97.06%,37.50%,93.06%,31.07%,
8,Residual-DIM:80,98.47%,5.70%,76.97%,69.92%,98.15%,12.75%,97.03%,37.50%,92.65%,31.47%,
9,Residual-DIM:100,97.99%,7.36%,74.10%,71.49%,98.19%,14.71%,96.90%,25.00%,91.80%,29.64%,
10,Residual-DIM:120,97.56%,12.59%,74.36%,77.30%,97.17%,18.63%,92.30%,50.00%,90.35%,39.63%,
11,Residual-DIM:140,95.97%,22.57%,71.51%,78.33%,95.44%,23.53%,87.27%,50.00%,87.55%,43.61%,
12,Residual-DIM:160,97.27%,11.88%,78.15%,70.40%,95.92%,25.49%,90.68%,37.50%,90.50%,36.32%,
13,Residual-DIM:180,97.11%,12.83%,77.79%,70.52%,95.77%,25.49%,90.16%,37.50%,90.21%,36.58%,
14,Residual-DIM:200,97.09%,12.59%,77.65%,70.16%,95.66%,24.51%,90.94%,37.50%,90.33%,36.19%,
15,Residual-DIM:220,97.02%,12.35%,77.51%,70.34%,95.56%,24.51%,90.99%,37.50%,90.27%,36.18%,
16,Virtual Logit-DIM:0,95.38%,15.44%,63.27%,68.58%,82.43%,38.24%,91.72%,12.50%,83.20%,33.69%,
17,Virtual Logit-DIM:20,98.94%,0.71%,72.06%,66.22%,96.75%,23.53%,96.32%,12.50%,91.02%,25.74%,
18,Virtual Logit-DIM:40,99.28%,3.56%,72.65%,65.62%,97.73%,17.65%,96.72%,12.50%,91.60%,24.83%,
19,Virtual Logit-DIM:60,99.21%,4.51%,73.66%,64.89%,97.94%,13.73%,97.39%,12.50%,92.05%,23.91%,
20,Virtual Logit-DIM:80,99.03%,5.23%,72.54%,65.07%,98.30%,7.84%,97.53%,0.00%,91.85%,19.54%,
21,Virtual Logit-DIM:100,98.65%,4.99%,70.34%,66.10%,98.44%,8.82%,97.61%,12.50%,91.26%,23.10%,
22,Virtual Logit-DIM:120,98.19%,9.26%,70.63%,67.86%,97.61%,16.67%,93.16%,50.00%,89.90%,35.95%,
23,Virtual Logit-DIM:140,97.38%,7.84%,69.28%,70.34%,95.73%,15.69%,88.92%,50.00%,87.83%,35.97%,
24,Virtual Logit-DIM:160,97.94%,8.55%,73.28%,66.71%,96.25%,22.55%,94.40%,37.50%,90.46%,33.83%,
25,Virtual Logit-DIM:180,97.85%,8.31%,72.81%,67.01%,96.10%,23.53%,94.30%,37.50%,90.27%,34.09%,
26,Virtual Logit-DIM:200,97.85%,8.08%,72.73%,67.07%,96.06%,22.55%,94.50%,37.50%,90.29%,33.80%,
27,Virtual Logit-DIM:220,97.81%,8.31%,72.64%,67.01%,95.99%,22.55%,94.52%,37.50%,90.24%,33.84%,
28,Virtual Logit-DIM:240,97.86%,8.31%,72.54%,67.86%,96.00%,20.59%,94.47%,37.50%,90.22%,33.56%,
29,Mahalanobis,98.33%,6.41%,77.32%,68.52%,98.00%,10.78%,96.16%,37.50%,92.45%,30.81%,
